TIME_PERIOD;TYPE;UNIT;VALUE;;CONF_STATUS
2018-06;Combustible fuels;Gigawatt-hour;11005.303;;
2018-07;Combustible fuels;Gigawatt-hour;11986.869;;
2018-08;Combustible fuels;Gigawatt-hour;11926.199;;
2018-09;Combustible fuels;Gigawatt-hour;11122.953;;
2018-10;Combustible fuels;Gigawatt-hour;11562.675;;
2018-11;Combustible fuels;Gigawatt-hour;12064.712;;
2018-12;Combustible fuels;Gigawatt-hour;12338.645;;
2019-01;Combustible fuels;Gigawatt-hour;12737.226;;
2019-02;Combustible fuels;Gigawatt-hour;10541.523;;
2019-03;Combustible fuels;Gigawatt-hour;10703.831;;
2019-04;Combustible fuels;Gigawatt-hour;10278.039;;
2019-05;Combustible fuels;Gigawatt-hour;10642.723;;
2019-06;Combustible fuels;Gigawatt-hour;10551.272;;
2019-07;Combustible fuels;Gigawatt-hour;10790.123;;
2019-08;Combustible fuels;Gigawatt-hour;11119.485;;
2019-09;Combustible fuels;Gigawatt-hour;10258.207;;
2019-10;Combustible fuels;Gigawatt-hour;11173.636;;
2019-11;Combustible fuels;Gigawatt-hour;10747.430;;
2019-12;Combustible fuels;Gigawatt-hour;11100.634;;
2020-01;Combustible fuels;Gigawatt-hour;11313.158;;
2020-02;Combustible fuels;Gigawatt-hour;10031.856;;
2020-03;Combustible fuels;Gigawatt-hour;10380.457;;
2020-04;Combustible fuels;Gigawatt-hour;8860.420;;
2020-05;Combustible fuels;Gigawatt-hour;9050.383;;
2020-06;Combustible fuels;Gigawatt-hour;9198.001;;
2020-07;Combustible fuels;Gigawatt-hour;9892.962;;
2020-08;Combustible fuels;Gigawatt-hour;10232.190;;
2020-09;Combustible fuels;Gigawatt-hour;10238.176;;
2020-10;Combustible fuels;Gigawatt-hour;10883.137;;
2020-11;Combustible fuels;Gigawatt-hour;11109.059;;
2020-12;Combustible fuels;Gigawatt-hour;11547.792;;
2021-01;Combustible fuels;Gigawatt-hour;12753.855;;
2021-02;Combustible fuels;Gigawatt-hour;11138.538;;
2021-03;Combustible fuels;Gigawatt-hour;11288.854;;
2021-04;Combustible fuels;Gigawatt-hour;10554.566;;
2021-05;Combustible fuels;Gigawatt-hour;10115.270;;
2021-06;Combustible fuels;Gigawatt-hour;10974.747;;
2021-07;Combustible fuels;Gigawatt-hour;11909.120;;
2021-08;Combustible fuels;Gigawatt-hour;11463.469;;
2021-09;Combustible fuels;Gigawatt-hour;12172.700;;
2021-10;Combustible fuels;Gigawatt-hour;11879.651;;
2021-11;Combustible fuels;Gigawatt-hour;12574.585;;
2021-12;Combustible fuels;Gigawatt-hour;13516.761;;
2022-01;Combustible fuels;Gigawatt-hour;12100.787;;
2022-02;Combustible fuels;Gigawatt-hour;10266.468;;
2022-03;Combustible fuels;Gigawatt-hour;12626.666;;
2022-04;Combustible fuels;Gigawatt-hour;10850.055;;
2022-05;Combustible fuels;Gigawatt-hour;10452.240;;
2022-06;Combustible fuels;Gigawatt-hour;10323.083;;
2022-07;Combustible fuels;Gigawatt-hour;10171.690;;
2022-08;Combustible fuels;Gigawatt-hour;10877.178;;
2022-09;Combustible fuels;Gigawatt-hour;10445.268;;
2022-10;Combustible fuels;Gigawatt-hour;10660.430;;
2022-11;Combustible fuels;Gigawatt-hour;12105.454;;
2022-12;Combustible fuels;Gigawatt-hour;12440.682;;
2023-01;Combustible fuels;Gigawatt-hour;11268.272;;
2023-02;Combustible fuels;Gigawatt-hour;10094.104;;
2023-03;Combustible fuels;Gigawatt-hour;10194.093;;
2023-04;Combustible fuels;Gigawatt-hour;8972.322;;
2023-05;Combustible fuels;Gigawatt-hour;8314.646;;
2023-06;Combustible fuels;Gigawatt-hour;8129.312;;
2023-07;Combustible fuels;Gigawatt-hour;8324.360;;
2023-08;Combustible fuels;Gigawatt-hour;8927.921;;
2023-09;Combustible fuels;Gigawatt-hour;8999.026;;
2023-10;Combustible fuels;Gigawatt-hour;9941.541;;
2023-11;Combustible fuels;Gigawatt-hour;10886.136;;
2023-12;Combustible fuels;Gigawatt-hour;10945.825;;
2024-01;Combustible fuels;Gigawatt-hour;10918.867;;
2024-02;Combustible fuels;Gigawatt-hour;9309.974;;
2024-03;Combustible fuels;Gigawatt-hour;9619.754;;
