TIME_PERIOD;TYPE;UNIT;OPERATION;OBS_VALUE
2011-12;Coke oven coke;Thousand tonnes;Exports;381.000
2012-01;Coke oven coke;Thousand tonnes;Exports;385.000
2012-02;Coke oven coke;Thousand tonnes;Exports;412.000
2012-03;Coke oven coke;Thousand tonnes;Exports;367.000
2012-04;Coke oven coke;Thousand tonnes;Exports;421.000
2012-05;Coke oven coke;Thousand tonnes;Exports;554.000
2012-06;Coke oven coke;Thousand tonnes;Exports;523.000
2012-07;Coke oven coke;Thousand tonnes;Exports;586.000
2012-08;Coke oven coke;Thousand tonnes;Exports;474.000
2012-09;Coke oven coke;Thousand tonnes;Exports;503.000
2012-10;Coke oven coke;Thousand tonnes;Exports;530.000
2012-11;Coke oven coke;Thousand tonnes;Exports;472.000
2012-12;Coke oven coke;Thousand tonnes;Exports;538.000
2013-01;Coke oven coke;Thousand tonnes;Exports;578.000
2013-02;Coke oven coke;Thousand tonnes;Exports;584.000
2013-03;Coke oven coke;Thousand tonnes;Exports;560.000
2013-04;Coke oven coke;Thousand tonnes;Exports;563.000
2013-05;Coke oven coke;Thousand tonnes;Exports;516.000
2013-06;Coke oven coke;Thousand tonnes;Exports;503.000
