DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-06,6673.135,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-07,6673.457,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-08,6725.071,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-09,6292.971,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-10,7236.361,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-11,8180.172,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-12,8702.866,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2025-01,8870.494,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2025-02,8727.502,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2025-03,7289.229,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2025-04,5862.187,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2025-05,5584.051,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2025-06,5023.213,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2025-07,6125.070,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2025-08,5542.573,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-01,81.536,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-02,79.268,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-03,77.549,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-04,74.830,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-05,80.088,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-06,78.986,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-07,82.942,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-08,81.947,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Percentage,Poland,2017-09,79.159,,
