DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-09,954.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-10,664.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-11,574.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-12,719.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-01,459.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-02,508.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-03,855.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-04,687.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-05,794.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-06,831.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-07,836.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-08,813.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-09,914.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-10,898.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-11,749.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2016-12,706.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-01,506.000,b,
