TIME_PERIOD,brown coal - change in stock - thousand tonnes,brown coal - closing stocks on national territory - thousand tonnes,brown coal - exports - thousand tonnes,brown coal - gross inland deliveries - calculated - thousand tonnes,brown coal - imports - thousand tonnes,brown coal - indigenous production - thousand tonnes,brown coal - opening stocks on national territory - thousand tonnes,brown coal - transformation input - electricity and heat generation - main activity producers - thousand tonnes,coke oven coke - change in stock - thousand tonnes,coke oven coke - closing stocks on national territory - thousand tonnes,coke oven coke - exports - thousand tonnes,coke oven coke - final consumption - industry sector - iron and steel - thousand tonnes,coke oven coke - gross inland deliveries - calculated - thousand tonnes,coke oven coke - imports - thousand tonnes,coke oven coke - imports from outside eu - thousand tonnes,coke oven coke - indigenous production - thousand tonnes,coke oven coke - opening stocks on national territory - thousand tonnes,hard coal - change in stock - thousand tonnes,hard coal - closing stocks on national territory - thousand tonnes,hard coal - exports - thousand tonnes,hard coal - final consumption - industry sector - iron and steel - thousand tonnes,hard coal - final consumption - industry sector - thousand tonnes,hard coal - final consumption - other sectors - thousand tonnes,hard coal - gross inland deliveries - calculated - thousand tonnes,hard coal - gross inland deliveries - observed - thousand tonnes,hard coal - imports - thousand tonnes,hard coal - imports from outside eu - thousand tonnes,hard coal - indigenous production - thousand tonnes,hard coal - opening stocks on national territory - thousand tonnes,hard coal - recovered and recycled products - thousand tonnes,hard coal - statistical differences - thousand tonnes,hard coal - transformation input - coke ovens - thousand tonnes,hard coal - transformation input - electricity and heat generation - main activity producers - thousand tonnes,oil shale and oil sands - change in stock - thousand tonnes,oil shale and oil sands - closing stocks on national territory - thousand tonnes,oil shale and oil sands - exports - thousand tonnes,oil shale and oil sands - gross inland deliveries - calculated - thousand tonnes,oil shale and oil sands - imports - thousand tonnes,oil shale and oil sands - indigenous production - thousand tonnes,oil shale and oil sands - opening stocks on national territory - thousand tonnes,oil shale and oil sands - transformation input - electricity and heat generation - main activity producers - thousand tonnes,peat - change in stock - thousand tonnes,peat - closing stocks on national territory - thousand tonnes,peat - exports - thousand tonnes,peat - gross inland deliveries - calculated - thousand tonnes,peat - imports - thousand tonnes,peat - indigenous production - thousand tonnes,peat - opening stocks on national territory - thousand tonnes,peat - transformation input - electricity and heat generation - main activity producers - thousand tonnes
2021-08,-53.699,390.285,0.024,4792.744,8.51,4837.957,336.586,4783.022,-113.132,389.399,530.812,176.578,243.189,30.584,15.881,856.549,276.267,517.586,5904.56,566.062,30.0,178.042,1203.936,5417.138,5232.324,1170.136,1146.719,4267.945,6422.146,27.533,184.814,964.204,2886.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-09,-59.362,449.647,0.024,4399.247,13.6,4445.033,390.285,4370.993,27.499,361.9,594.472,170.001,249.453,16.799,7.922,799.627,389.399,1136.391,4768.169,549.018,30.0,217.666,1405.93,5910.264,5700.978,781.32,740.932,4515.011,5904.56,26.56,209.286,902.397,3174.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-10,-16.569,466.216,1.83,3906.313,15.486,3909.226,449.647,3866.708,-16.776,378.676,597.638,162.901,140.147,16.42,5.466,738.141,361.9,-224.893,4993.062,579.036,30.0,210.429,730.19,4988.86,4771.334,1043.802,989.2,4718.294,4768.169,30.693,217.526,819.549,3011.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-11,17.229,448.987,1.88,4352.25,13.222,4323.679,466.216,4315.846,70.312,308.364,627.388,188.157,254.158,17.901,7.681,793.332,378.676,740.947,4252.115,641.655,30.0,237.062,1227.94,6007.202,5730.999,1247.229,1145.586,4632.869,4993.062,27.813,276.203,1147.09,3118.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-12,-24.601,473.588,0.153,5552.476,12.067,5565.163,448.987,5514.058,-81.657,390.021,499.741,173.865,235.949,23.079,9.052,794.269,308.364,12.18,4239.936,513.288,30.0,231.051,1119.365,5427.598,5602.261,1106.939,995.115,4795.477,4252.115,26.29,-174.663,1091.244,3160.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2022-01,-34.389,507.977,0.025,5017.971,5.652,5046.733,473.588,5115.644,-32.085,422.106,610.347,205.059,149.683,20.23,11.122,771.885,390.021,-61.984,4301.92,606.9,30.0,175.972,922.614,5122.014,5241.361,1392.038,1291.74,4367.01,4239.936,31.851,-119.347,1082.029,3060.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2022-02,75.807,432.17,0.102,3953.763,7.032,3871.026,507.977,3926.039,79.541,342.565,675.597,178.785,132.36,18.327,9.779,710.089,422.106,63.134,4238.786,636.816,30.0,191.237,960.787,5046.954,5201.557,1117.741,1072.94,4474.886,4301.92,28.009,-154.603,932.812,3116.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2022-03,3.479,428.691,0.0,4934.17,18.106,4912.585,432.17,4895.461,52.862,289.703,644.044,167.907,199.986,8.994,6.828,782.174,342.565,-15.166,4253.952,922.64,30.0,209.782,1228.541,5817.154,6104.185,1236.504,1207.854,5483.863,4238.786,34.593,-287.031,1176.066,3489.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2022-04,9.157,419.534,0.13,4300.883,12.827,4279.029,428.691,4268.96,-59.989,349.692,594.029,154.628,106.916,6.119,5.892,754.815,289.703,-52.549,4306.501,447.203,30.0,201.648,1024.138,5412.489,5149.891,1190.314,1093.727,4692.73,4253.952,29.197,262.598,898.186,3025.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2022-05,-13.503,433.037,0.0,4639.328,12.827,4640.003,419.534,4608.573,-23.674,373.366,582.749,180.962,171.807,8.494,0.054,769.736,349.692,-116.103,4422.604,501.059,30.0,207.66,754.551,4523.139,4707.216,631.428,601.949,4480.352,4306.501,28.521,-184.077,962.704,2782.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
